tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,6082813
Pthreads,2,500000,2000,3049112
Pthreads,3,333333.3,2000,2142774
Pthreads,4,250000,2000,1745861
Pthreads,5,200000,2000,2140297
Pthreads,6,166666.6,2000,1879064
Pthreads,7,142857.1,2000,1711459
Pthreads,8,125000,2000,1567483
OpenMP,1,1000000,2000,5900562
OpenMP,2,500000,2000,2967399
OpenMP,3,333333.3,2000,1974843
OpenMP,4,250000,2000,1673098
OpenMP,5,200000,2000,2113829
OpenMP,6,166666.6,2000,1801921
OpenMP,7,142857.1,2000,1689122
OpenMP,8,125000,2000,1596851
